nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
0,0.1,0,FALSE,1,0,20,5,1,19,blueBalloon.png,32,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,9,1,19,blueBalloon.png,56,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,2,1,19,blueBalloon.png,14,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,0,1,19,blueBalloon.png,2,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,15,1,19,blueBalloon.png,92,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,10,1,19,blueBalloon.png,62,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,7,1,19,blueBalloon.png,44,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,13,1,19,blueBalloon.png,80,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,11,1,19,blueBalloon.png,68,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,17,1,19,blueBalloon.png,104,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,1,1,19,blueBalloon.png,8,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,6,1,19,blueBalloon.png,38,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,4,1,19,blueBalloon.png,26,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,19,1,19,blueBalloon.png,116,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,18,1,19,blueBalloon.png,110,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,16,1,19,blueBalloon.png,98,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,8,1,19,blueBalloon.png,50,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,12,1,19,blueBalloon.png,74,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,3,1,19,blueBalloon.png,20,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,14,1,19,blueBalloon.png,86,1,f,22,004,2020-07-29_10h18.00.743,bart,3.1.3,60
