nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
5,0.175,0.25,FALSE,1,0,20,15,1,19,blueBalloon.png,92,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
14,0.31,0.7,FALSE,1,0,20,7,1,19,blueBalloon.png,44,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
12,0.28,0.6,FALSE,1,0,20,13,1,19,blueBalloon.png,80,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,11,1,19,blueBalloon.png,68,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,17,1,19,blueBalloon.png,104,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
2,0.13,0.1,FALSE,1,0,20,6,1,19,blueBalloon.png,38,1,m,21,004,2020-10-06_00h43.32.740,bart,3.1.3,60
