nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
23,0.445,1.15,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
15,0.31,0,TRUE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
3,0.13,0,TRUE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
18,0.37,0.9,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
20,0.4,1,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
23,0.445,1.15,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
20,0.4,1,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
9,0.22,0,TRUE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
22,0.43,1.1,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.415,1.05,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
22,0.43,1.1,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
21,0.4,0,TRUE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
20,0.4,1,FALSE,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,,
,,,,Gustavo,m,32,004,2019-10-05_18h30.39.773,bart,3.1.3,60,space,2.34499979
