nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
10,0.25,0.5,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
20,0.4,1,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
15,0.31,0,TRUE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
3,0.13,0,TRUE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
14,0.31,0.7,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
16,0.34,0.8,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
16,0.34,0.8,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
17,0.355,0.85,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
16,0.34,0.8,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
20,0.4,1,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
9,0.22,0,TRUE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
17,0.355,0.85,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
19,0.385,0.95,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
17,0.355,0.85,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
14,0.31,0.7,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
16,0.34,0.8,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
16,0.34,0.8,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
21,0.415,1.05,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
21,0.4,0,TRUE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
18,0.37,0.9,FALSE,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,,
,,,,JOSE,M,24,001,2019-09-03_15h22.41.252,bart,3.1.3,60,space,0.075999975
