nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
12,0.28,0.6,FALSE,1,0,20,5,1,19,blueBalloon.png,32,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,9,1,19,blueBalloon.png,56,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
9,0.235,0.45,FALSE,1,0,20,15,1,19,blueBalloon.png,92,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,7,1,19,blueBalloon.png,44,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
29,0.535,1.45,FALSE,1,0,20,13,1,19,blueBalloon.png,80,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
60,1,3,FALSE,1,0,20,11,1,19,blueBalloon.png,68,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
69,1.135,3.45,FALSE,1,0,20,17,1,19,blueBalloon.png,104,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
117,1.84,0,TRUE,1,0,20,19,1,19,blueBalloon.png,116,J,M,26,004,2020-06-24_12h57.27.993,bart,3.1.3,60
