nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
21,0.415,1.05,FALSE,1,0,20,5,1,19,blueBalloon.png,32,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
29,0.535,1.45,FALSE,1,0,20,9,1,19,blueBalloon.png,56,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
22,0.43,1.1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,10,1,19,blueBalloon.png,62,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
41,0.715,2.05,FALSE,1,0,20,13,1,19,blueBalloon.png,80,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
41,0.715,2.05,FALSE,1,0,20,11,1,19,blueBalloon.png,68,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
39,0.685,1.95,FALSE,1,0,20,17,1,19,blueBalloon.png,104,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
37,0.655,1.85,FALSE,1,0,20,6,1,19,blueBalloon.png,38,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
34,0.61,1.7,FALSE,1,0,20,19,1,19,blueBalloon.png,116,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
37,0.655,1.85,FALSE,1,0,20,18,1,19,blueBalloon.png,110,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
18,0.37,0.9,FALSE,1,0,20,16,1,19,blueBalloon.png,98,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
42,0.73,2.1,FALSE,1,0,20,8,1,19,blueBalloon.png,50,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
61,1.015,3.05,FALSE,1,0,20,12,1,19,blueBalloon.png,74,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
23,0.445,1.15,FALSE,1,0,20,14,1,19,blueBalloon.png,86,Jinglestar,m,26,001,2019-02-24_17h07.17.722,bart,3.0.3,60
