nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
16,0.34,0.8,FALSE,1,0,20,5,1,19,blueBalloon.png,32,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,9,1,19,blueBalloon.png,56,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
8,0.22,0.4,FALSE,1,0,20,15,1,19,blueBalloon.png,92,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,10,1,19,blueBalloon.png,62,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
28,0.52,1.4,FALSE,1,0,20,7,1,19,blueBalloon.png,44,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
32,0.58,1.6,FALSE,1,0,20,13,1,19,blueBalloon.png,80,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
55,0.925,2.75,FALSE,1,0,20,11,1,19,blueBalloon.png,68,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
105,1.66,0,TRUE,1,0,20,17,1,19,blueBalloon.png,104,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
64,1.06,3.2,FALSE,1,0,20,19,1,19,blueBalloon.png,116,Luisais,f,20,004,2020-09-29_11h39.57.092,bart,3.1.3,60
