nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
28,0.52,1.4,FALSE,1,0,20,5,1,19,blueBalloon.png,32,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
31,0.565,1.55,FALSE,1,0,20,9,1,19,blueBalloon.png,56,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
20,0.4,1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
14,0.31,0.7,FALSE,1,0,20,10,1,19,blueBalloon.png,62,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
18,0.37,0.9,FALSE,1,0,20,7,1,19,blueBalloon.png,44,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
20,0.4,1,FALSE,1,0,20,13,1,19,blueBalloon.png,80,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
24,0.46,1.2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
30,0.55,1.5,FALSE,1,0,20,17,1,19,blueBalloon.png,104,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
4,0.16,0.2,FALSE,1,0,20,6,1,19,blueBalloon.png,38,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
21,0.415,1.05,FALSE,1,0,20,19,1,19,blueBalloon.png,116,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
28,0.52,1.4,FALSE,1,0,20,18,1,19,blueBalloon.png,110,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,16,1,19,blueBalloon.png,98,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
40,0.7,2,FALSE,1,0,20,8,1,19,blueBalloon.png,50,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
50,0.85,2.5,FALSE,1,0,20,12,1,19,blueBalloon.png,74,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
24,0.46,1.2,FALSE,1,0,20,14,1,19,blueBalloon.png,86,NK,F,42,004,2019-06-07_11h43.26.737,bart,3.0.3,60
