nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
33, 0.58, 0, true, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
24, 0.45999999999999996, 1.2000000000000002, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
12, 0.28, 0.6000000000000001, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
17, 0.355, 0.8500000000000001, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
29, 0.535, 1.4500000000000002, false, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
31, 0.565, 1.55, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
40, 0.7, 2, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
41, 0.715, 2.0500000000000003, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
39, 0.6699999999999999, 0, true, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
16, 0.33999999999999997, 0.8, false, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
20, 0.4, 1, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
30, 0.5499999999999999, 1.5, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
34, 0.61, 1.7000000000000002, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
51, 0.85, 0, true, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
42, 0.73, 2.1, false, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
21, 0.4, 0, true, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
11, 0.265, 0.55, false, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, , , , 004, 2019-01-08_18h03.05.285, bart, 3.0.0b11, 60
