nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
29,0.535,1.45,FALSE,1,0,20,9,1,19,blueBalloon.png,56,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,15,1,19,blueBalloon.png,92,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,10,1,19,blueBalloon.png,62,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,7,1,19,blueBalloon.png,44,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,13,1,19,blueBalloon.png,80,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
57,0.955,2.85,FALSE,1,0,20,11,1,19,blueBalloon.png,68,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
33,0.595,1.65,FALSE,1,0,20,17,1,19,blueBalloon.png,104,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
35,0.625,1.75,FALSE,1,0,20,6,1,19,blueBalloon.png,38,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
37,0.655,1.85,FALSE,1,0,20,19,1,19,blueBalloon.png,116,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
40,0.7,2,FALSE,1,0,20,18,1,19,blueBalloon.png,110,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
40,0.7,2,FALSE,1,0,20,16,1,19,blueBalloon.png,98,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
49,0.835,2.45,FALSE,1,0,20,8,1,19,blueBalloon.png,50,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
49,0.835,2.45,FALSE,1,0,20,12,1,19,blueBalloon.png,74,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
45,0.775,2.25,FALSE,1,0,20,14,1,19,blueBalloon.png,86,,m,27,004,2019-04-02_10h54.31.185,bart,3.0.3,60
