nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
31,0.565,1.55,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
15,0.31,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
3,0.13,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
31,0.565,1.55,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
36,0.64,1.8,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
40,0.7,2,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
40,0.7,2,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
42,0.73,2.1,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
53,0.895,2.65,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
9,0.22,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
39,0.67,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
27,0.49,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
52,0.88,2.6,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
44,0.76,2.2,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
45,0.775,2.25,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
51,0.85,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
46,0.79,2.3,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
21,0.4,0,TRUE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
45,0.775,2.25,FALSE,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,,
,,,,,,,004,2019-09-16_16h59.49.589,bart,3.1.3,60,space,0.309000015
