nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,15,1,19,blueBalloon.png,92,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
25,0.475,1.25,FALSE,1,0,20,10,1,19,blueBalloon.png,62,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
27,0.505,1.35,FALSE,1,0,20,7,1,19,blueBalloon.png,44,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,13,1,19,blueBalloon.png,80,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
31,0.565,1.55,FALSE,1,0,20,11,1,19,blueBalloon.png,68,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
31,0.565,1.55,FALSE,1,0,20,17,1,19,blueBalloon.png,104,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,Yanna,F,21,004,2020-09-29_11h25.41.626,bart,3.1.3,60
