nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
21,0.415,1.05,FALSE,1,0,20,5,1,19,blueBalloon.png,32,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
27,0.505,1.35,FALSE,1,0,20,9,1,19,blueBalloon.png,56,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
45,0.775,2.25,FALSE,1,0,20,15,1,19,blueBalloon.png,92,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
59,0.985,2.95,FALSE,1,0,20,10,1,19,blueBalloon.png,62,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
56,0.94,2.8,FALSE,1,0,20,13,1,19,blueBalloon.png,80,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
59,0.985,2.95,FALSE,1,0,20,11,1,19,blueBalloon.png,68,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
69,1.135,3.45,FALSE,1,0,20,17,1,19,blueBalloon.png,104,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
107,1.705,5.35,FALSE,1,0,20,19,1,19,blueBalloon.png,116,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
111,1.75,0,TRUE,1,0,20,18,1,19,blueBalloon.png,110,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
1,0.115,0.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,8,1,19,blueBalloon.png,50,a,f,89,004,2020-07-07_17h24.42.676,bart,3.1.3,60
