nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
0,0.1,0,FALSE,1,0,20,5,1,19,blueBalloon.png,32,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,9,1,19,blueBalloon.png,56,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
4,0.16,0.2,FALSE,1,0,20,15,1,19,blueBalloon.png,92,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
11,0.265,0.55,FALSE,1,0,20,10,1,19,blueBalloon.png,62,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
14,0.31,0.7,FALSE,1,0,20,7,1,19,blueBalloon.png,44,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
14,0.31,0.7,FALSE,1,0,20,13,1,19,blueBalloon.png,80,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
24,0.46,1.2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
18,0.37,0.9,FALSE,1,0,20,17,1,19,blueBalloon.png,104,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
10,0.25,0.5,FALSE,1,0,20,6,1,19,blueBalloon.png,38,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
22,0.43,1.1,FALSE,1,0,20,4,1,19,blueBalloon.png,26,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,19,1,19,blueBalloon.png,116,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,18,1,19,blueBalloon.png,110,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
28,0.52,1.4,FALSE,1,0,20,16,1,19,blueBalloon.png,98,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
26,0.49,1.3,FALSE,1,0,20,8,1,19,blueBalloon.png,50,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
28,0.52,1.4,FALSE,1,0,20,12,1,19,blueBalloon.png,74,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
27,0.505,1.35,FALSE,1,0,20,14,1,19,blueBalloon.png,86,ann,f,25,001,2019-06-24_22h09.29.023,bart,3.0.3,60
