nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
33, 0.58, 0, true, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
29, 0.535, 1.4500000000000002, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
27, 0.505, 1.35, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
55, 0.9249999999999999, 2.75, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
45, 0.7599999999999999, 0, true, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
40, 0.7, 2, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
38, 0.6699999999999999, 1.9000000000000001, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
58, 0.97, 2.9000000000000004, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
39, 0.6699999999999999, 0, true, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
27, 0.49, 0, true, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
51, 0.865, 2.5500000000000003, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
38, 0.6699999999999999, 1.9000000000000001, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
46, 0.7899999999999999, 2.3000000000000003, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
37, 0.6549999999999999, 1.85, false, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
0, 0.1, 0, false, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
21, 0.4, 0, true, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
87, 1.3900000000000001, 0, true, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, bob, m, 24, 004, 2018-12-30_17h34.25.108, bart, 3.0.0b11, 60
