nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
33, 0.58, 0, true, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
40, 0.7, 2, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
47, 0.8049999999999999, 2.35, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
60, 0.9999999999999999, 3, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
45, 0.7599999999999999, 0, true, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
54, 0.9099999999999999, 2.7, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
60, 0.9999999999999999, 3, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
64, 1.06, 3.2, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
39, 0.6699999999999999, 0, true, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
27, 0.49, 0, true, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
69, 1.135, 3.45, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
70, 1.1500000000000001, 3.5, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
82, 1.33, 4.1000000000000005, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
51, 0.85, 0, true, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
75, 1.21, 0, true, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
21, 0.4, 0, true, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
87, 1.3900000000000001, 0, true, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, china_heaton, m, 26, 004, 2018-12-28_19h46.24.696, bart, 3.0.0b11, 60
