nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
7,0.205,0.35,FALSE,1,0,20,5,1,19,blueBalloon.png,32,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
27,0.505,1.35,FALSE,1,0,20,9,1,19,blueBalloon.png,56,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
4,0.16,0.2,FALSE,1,0,20,15,1,19,blueBalloon.png,92,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
31,0.565,1.55,FALSE,1,0,20,10,1,19,blueBalloon.png,62,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
35,0.625,1.75,FALSE,1,0,20,7,1,19,blueBalloon.png,44,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,13,1,19,blueBalloon.png,80,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,11,1,19,blueBalloon.png,68,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
9,0.235,0.45,FALSE,1,0,20,17,1,19,blueBalloon.png,104,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
30,0.55,1.5,FALSE,1,0,20,6,1,19,blueBalloon.png,38,dfd,m,28,004,2020-09-24_20h55.25.448,bart,3.1.3,60
