nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
10,0.25,0.5,FALSE,1,0,20,2,1,19,blueBalloon.png,14,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
31,0.565,1.55,FALSE,1,0,20,15,1,19,blueBalloon.png,92,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
14,0.31,0.7,FALSE,1,0,20,10,1,19,blueBalloon.png,62,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
2,0.13,0.1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
5,0.175,0.25,FALSE,1,0,20,13,1,19,blueBalloon.png,80,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
12,0.28,0.6,FALSE,1,0,20,11,1,19,blueBalloon.png,68,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
13,0.295,0.65,FALSE,1,0,20,17,1,19,blueBalloon.png,104,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,6,1,19,blueBalloon.png,38,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
14,0.31,0.7,FALSE,1,0,20,4,1,19,blueBalloon.png,26,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
21,0.415,1.05,FALSE,1,0,20,19,1,19,blueBalloon.png,116,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
21,0.415,1.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
8,0.22,0.4,FALSE,1,0,20,16,1,19,blueBalloon.png,98,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
44,0.76,2.2,FALSE,1,0,20,8,1,19,blueBalloon.png,50,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
68,1.12,3.4,FALSE,1,0,20,12,1,19,blueBalloon.png,74,dfgdfg,m,39,004,2019-04-02_14h23.23.356,bart,3.0.3,60
