nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
33, 0.58, 0, true, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
22, 0.42999999999999994, 1.1, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
32, 0.58, 1.6, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
31, 0.565, 1.55, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
9, 0.23500000000000001, 0.45, false, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
12, 0.28, 0.6000000000000001, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
30, 0.5499999999999999, 1.5, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
22, 0.42999999999999994, 1.1, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
31, 0.565, 1.55, false, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
27, 0.49, 0, true, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
22, 0.42999999999999994, 1.1, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
18, 0.37, 0.9, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
11, 0.265, 0.55, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
33, 0.595, 1.6500000000000001, false, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
68, 1.12, 3.4000000000000004, false, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
21, 0.4, 0, true, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
48, 0.82, 2.4000000000000004, false, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, dfsdf, m, 45, 004, 2019-01-13_15h24.57.338, bart, 3.0.0b11, 60
