nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
14,0.31,0.7,FALSE,1,0,20,5,1,19,blueBalloon.png,32,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
35,0.625,1.75,FALSE,1,0,20,15,1,19,blueBalloon.png,92,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
37,0.655,1.85,FALSE,1,0,20,10,1,19,blueBalloon.png,62,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
37,0.655,1.85,FALSE,1,0,20,7,1,19,blueBalloon.png,44,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
42,0.73,2.1,FALSE,1,0,20,13,1,19,blueBalloon.png,80,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
45,0.775,2.25,FALSE,1,0,20,11,1,19,blueBalloon.png,68,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
49,0.835,2.45,FALSE,1,0,20,17,1,19,blueBalloon.png,104,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
24,0.46,1.2,FALSE,1,0,20,19,1,19,blueBalloon.png,116,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
41,0.715,2.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
43,0.745,2.15,FALSE,1,0,20,16,1,19,blueBalloon.png,98,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
42,0.73,2.1,FALSE,1,0,20,8,1,19,blueBalloon.png,50,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
49,0.835,2.45,FALSE,1,0,20,12,1,19,blueBalloon.png,74,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
3,0.145,0.15,FALSE,1,0,20,14,1,19,blueBalloon.png,86,erqet,m,53,004,2019-02-20_13h18.55.997,bart,3.0.3,60
