nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,15,1,19,blueBalloon.png,92,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,10,1,19,blueBalloon.png,62,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
20,0.4,1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,13,1,19,blueBalloon.png,80,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
24,0.46,1.2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
22,0.43,1.1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
19,0.385,0.95,FALSE,1,0,20,6,1,19,blueBalloon.png,38,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
19,0.385,0.95,FALSE,1,0,20,19,1,19,blueBalloon.png,116,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,18,1,19,blueBalloon.png,110,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,16,1,19,blueBalloon.png,98,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,8,1,19,blueBalloon.png,50,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
16,0.34,0.8,FALSE,1,0,20,12,1,19,blueBalloon.png,74,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,3,1,19,blueBalloon.png,20,esn,f,22,004,2020-09-26_00h18.56.727,bart,3.1.3,60
