nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
21,0.415,1.05,FALSE,1,0,20,5,1,19,blueBalloon.png,32,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
41,0.715,2.05,FALSE,1,0,20,9,1,19,blueBalloon.png,56,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
24,0.46,1.2,FALSE,1,0,20,15,1,19,blueBalloon.png,92,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
32,0.58,1.6,FALSE,1,0,20,10,1,19,blueBalloon.png,62,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
38,0.67,1.9,FALSE,1,0,20,7,1,19,blueBalloon.png,44,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
24,0.46,1.2,FALSE,1,0,20,13,1,19,blueBalloon.png,80,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
52,0.88,2.6,FALSE,1,0,20,11,1,19,blueBalloon.png,68,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
38,0.67,1.9,FALSE,1,0,20,17,1,19,blueBalloon.png,104,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
22,0.43,1.1,FALSE,1,0,20,19,1,19,blueBalloon.png,116,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
26,0.49,1.3,FALSE,1,0,20,18,1,19,blueBalloon.png,110,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
33,0.595,1.65,FALSE,1,0,20,16,1,19,blueBalloon.png,98,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
33,0.595,1.65,FALSE,1,0,20,12,1,19,blueBalloon.png,74,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
45,0.775,2.25,FALSE,1,0,20,14,1,19,blueBalloon.png,86,etr,f,3,004,2019-03-22_13h58.29.484,bart,3.0.3,60
