nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
20,0.4,1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
22,0.43,1.1,FALSE,1,0,20,9,1,19,blueBalloon.png,56,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
12,0.28,0.6,FALSE,1,0,20,2,1,19,blueBalloon.png,14,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
9,0.235,0.45,FALSE,1,0,20,15,1,19,blueBalloon.png,92,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,10,1,19,blueBalloon.png,62,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,7,1,19,blueBalloon.png,44,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
24,0.46,1.2,FALSE,1,0,20,13,1,19,blueBalloon.png,80,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,11,1,19,blueBalloon.png,68,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
14,0.31,0.7,FALSE,1,0,20,17,1,19,blueBalloon.png,104,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
2,0.13,0.1,FALSE,1,0,20,6,1,19,blueBalloon.png,38,f,dsfg,grds,004,2020-10-05_12h39.09.602,bart,3.1.3,60
