nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
18,0.37,0.9,FALSE,1,0,20,9,1,19,blueBalloon.png,56,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
5,0.175,0.25,FALSE,1,0,20,15,1,19,blueBalloon.png,92,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
6,0.19,0.3,FALSE,1,0,20,10,1,19,blueBalloon.png,62,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
16,0.34,0.8,FALSE,1,0,20,7,1,19,blueBalloon.png,44,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
17,0.355,0.85,FALSE,1,0,20,13,1,19,blueBalloon.png,80,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
28,0.52,1.4,FALSE,1,0,20,11,1,19,blueBalloon.png,68,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
29,0.535,1.45,FALSE,1,0,20,17,1,19,blueBalloon.png,104,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
19,0.385,0.95,FALSE,1,0,20,6,1,19,blueBalloon.png,38,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
18,0.37,0.9,FALSE,1,0,20,19,1,19,blueBalloon.png,116,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
19,0.385,0.95,FALSE,1,0,20,18,1,19,blueBalloon.png,110,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,16,1,19,blueBalloon.png,98,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
23,0.445,1.15,FALSE,1,0,20,8,1,19,blueBalloon.png,50,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,12,1,19,blueBalloon.png,74,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,3,1,19,blueBalloon.png,20,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,14,1,19,blueBalloon.png,86,foo,m,35,004,2019-03-06_23h39.30.521,bart,3.0.3,60
