nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,15,1,19,blueBalloon.png,92,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
19,0.385,0.95,FALSE,1,0,20,10,1,19,blueBalloon.png,62,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
30,0.55,1.5,FALSE,1,0,20,7,1,19,blueBalloon.png,44,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
38,0.67,1.9,FALSE,1,0,20,13,1,19,blueBalloon.png,80,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
45,0.775,2.25,FALSE,1,0,20,11,1,19,blueBalloon.png,68,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
66,1.09,3.3,FALSE,1,0,20,17,1,19,blueBalloon.png,104,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
11,0.265,0.55,FALSE,1,0,20,4,1,19,blueBalloon.png,26,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
3,0.145,0.15,FALSE,1,0,20,19,1,19,blueBalloon.png,116,gabi,f,21,004,2020-09-29_11h13.06.093,bart,3.1.3,60
