nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
6,0.19,0.3,FALSE,1,0,20,5,1,19,blueBalloon.png,32,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,9,1,19,blueBalloon.png,56,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
7,0.205,0.35,FALSE,1,0,20,15,1,19,blueBalloon.png,92,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
13,0.295,0.65,FALSE,1,0,20,10,1,19,blueBalloon.png,62,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,7,1,19,blueBalloon.png,44,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,13,1,19,blueBalloon.png,80,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
24,0.46,1.2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,17,1,19,blueBalloon.png,104,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
3,0.145,0.15,FALSE,1,0,20,1,1,19,blueBalloon.png,8,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
16,0.34,0.8,FALSE,1,0,20,6,1,19,blueBalloon.png,38,gg,m,1990,004,2020-09-11_18h18.23.143,bart,3.1.3,60
