nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
26,0.49,1.3,FALSE,1,0,20,5,1,19,blueBalloon.png,32,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
6,0.19,0.3,FALSE,1,0,20,15,1,19,blueBalloon.png,92,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
25,0.475,1.25,FALSE,1,0,20,10,1,19,blueBalloon.png,62,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
20,0.4,1,FALSE,1,0,20,7,1,19,blueBalloon.png,44,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
33,0.595,1.65,FALSE,1,0,20,13,1,19,blueBalloon.png,80,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
4,0.16,0.2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
3,0.145,0.15,FALSE,1,0,20,17,1,19,blueBalloon.png,104,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
3,0.145,0.15,FALSE,1,0,20,1,1,19,blueBalloon.png,8,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
4,0.16,0.2,FALSE,1,0,20,6,1,19,blueBalloon.png,38,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
4,0.16,0.2,FALSE,1,0,20,4,1,19,blueBalloon.png,26,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
1,0.115,0.05,FALSE,1,0,20,19,1,19,blueBalloon.png,116,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
1,0.115,0.05,FALSE,1,0,20,18,1,19,blueBalloon.png,110,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
1,0.115,0.05,FALSE,1,0,20,16,1,19,blueBalloon.png,98,j,m,41,001,2019-04-08_15h22.41.190,bart,3.0.3,60
