nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
16,0.34,0.8,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
26,0.49,1.3,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
15,0.31,0,TRUE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
3,0.13,0,TRUE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
3,0.145,0.15,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
8,0.22,0.4,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
16,0.34,0.8,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
20,0.4,1,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
40,0.7,2,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
46,0.79,2.3,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
9,0.22,0,TRUE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
20,0.4,1,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
27,0.49,0,TRUE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
25,0.475,1.25,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
20,0.4,1,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
22,0.43,1.1,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
24,0.46,1.2,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
24,0.46,1.2,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
21,0.4,0,TRUE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
11,0.265,0.55,FALSE,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,,
,,,,joey,m,55,004,2019-09-21_17h09.33.135,bart,3.1.3,60,space,0.356999874
