nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
1,0.115,0.05,FALSE,1,0,20,2,1,19,blueBalloon.png,14,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
60,1,3,FALSE,1,0,20,15,1,19,blueBalloon.png,92,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
63,1.03,0,TRUE,1,0,20,10,1,19,blueBalloon.png,62,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
0,0.1,0,FALSE,1,0,20,7,1,19,blueBalloon.png,44,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
60,1,3,FALSE,1,0,20,13,1,19,blueBalloon.png,80,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
63,1.045,3.15,FALSE,1,0,20,11,1,19,blueBalloon.png,68,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
62,1.03,3.1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
69,1.135,3.45,FALSE,1,0,20,19,1,19,blueBalloon.png,116,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
57,0.955,2.85,FALSE,1,0,20,18,1,19,blueBalloon.png,110,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
72,1.18,3.6,FALSE,1,0,20,16,1,19,blueBalloon.png,98,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
56,0.94,2.8,FALSE,1,0,20,12,1,19,blueBalloon.png,74,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
66,1.09,3.3,FALSE,1,0,20,14,1,19,blueBalloon.png,86,lec,m,78,004,2019-02-18_17h28.37.198,bart,3.0.3,60
