nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
26,0.49,1.3,FALSE,1,0,20,5,1,19,blueBalloon.png,32,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,9,1,19,blueBalloon.png,56,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
20,0.4,1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,10,1,19,blueBalloon.png,62,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
25,0.475,1.25,FALSE,1,0,20,7,1,19,blueBalloon.png,44,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
40,0.7,2,FALSE,1,0,20,13,1,19,blueBalloon.png,80,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,11,1,19,blueBalloon.png,68,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
91,1.465,4.55,FALSE,1,0,20,17,1,19,blueBalloon.png,104,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
117,1.84,0,TRUE,1,0,20,19,1,19,blueBalloon.png,116,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
86,1.39,4.3,FALSE,1,0,20,18,1,19,blueBalloon.png,110,milk,m,25,004,2020-10-05_12h55.19.884,bart,3.1.3,60
