nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
21,0.415,1.05,FALSE,1,0,20,5,1,19,blueBalloon.png,32,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
24,0.46,1.2,FALSE,1,0,20,9,1,19,blueBalloon.png,56,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
11,0.265,0.55,FALSE,1,0,20,15,1,19,blueBalloon.png,92,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
16,0.34,0.8,FALSE,1,0,20,10,1,19,blueBalloon.png,62,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,7,1,19,blueBalloon.png,44,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,13,1,19,blueBalloon.png,80,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
19,0.385,0.95,FALSE,1,0,20,11,1,19,blueBalloon.png,68,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,17,1,19,blueBalloon.png,104,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
19,0.385,0.95,FALSE,1,0,20,6,1,19,blueBalloon.png,38,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
13,0.295,0.65,FALSE,1,0,20,4,1,19,blueBalloon.png,26,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
20,0.4,1,FALSE,1,0,20,19,1,19,blueBalloon.png,116,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
20,0.4,1,FALSE,1,0,20,18,1,19,blueBalloon.png,110,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
15,0.325,0.75,FALSE,1,0,20,16,1,19,blueBalloon.png,98,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
16,0.34,0.8,FALSE,1,0,20,8,1,19,blueBalloon.png,50,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
18,0.37,0.9,FALSE,1,0,20,12,1,19,blueBalloon.png,74,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,nn,f,30,004,2020-09-11_16h17.16.766,bart,3.1.3,60
