nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
21,0.415,1.05,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
0,0.1,0,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
3,0.13,0,TRUE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
28,0.52,1.4,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
30,0.55,1.5,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
32,0.58,1.6,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
35,0.625,1.75,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
40,0.7,2,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
44,0.76,2.2,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
9,0.22,0,TRUE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
39,0.67,0,TRUE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
27,0.49,0,TRUE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
35,0.625,1.75,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
35,0.625,1.75,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
41,0.715,2.05,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
40,0.7,2,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
41,0.715,2.05,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
21,0.4,0,TRUE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
41,0.715,2.05,FALSE,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,,
,,,,noninvited,m,36,004,2019-10-07_12h03.43.542,bart,3.1.3,60,return,8.480000019
