nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
40,0.7,2,FALSE,1,0,20,9,1,19,blueBalloon.png,56,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
35,0.625,1.75,FALSE,1,0,20,15,1,19,blueBalloon.png,92,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
42,0.73,2.1,FALSE,1,0,20,10,1,19,blueBalloon.png,62,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
50,0.85,2.5,FALSE,1,0,20,13,1,19,blueBalloon.png,80,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
60,1,3,FALSE,1,0,20,11,1,19,blueBalloon.png,68,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
70,1.15,3.5,FALSE,1,0,20,17,1,19,blueBalloon.png,104,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
30,0.55,1.5,FALSE,1,0,20,19,1,19,blueBalloon.png,116,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
50,0.85,2.5,FALSE,1,0,20,18,1,19,blueBalloon.png,110,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
33,0.595,1.65,FALSE,1,0,20,16,1,19,blueBalloon.png,98,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
42,0.73,2.1,FALSE,1,0,20,8,1,19,blueBalloon.png,50,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
44,0.76,2.2,FALSE,1,0,20,12,1,19,blueBalloon.png,74,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
35,0.625,1.75,FALSE,1,0,20,14,1,19,blueBalloon.png,86,pc,f,25,004,2019-03-13_13h24.57.112,bart,3.0.3,60
