nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
18,0.37,0.9,FALSE,1,0,20,5,1,19,blueBalloon.png,32,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
4,0.16,0.2,FALSE,1,0,20,15,1,19,blueBalloon.png,92,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
8,0.22,0.4,FALSE,1,0,20,10,1,19,blueBalloon.png,62,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
17,0.355,0.85,FALSE,1,0,20,7,1,19,blueBalloon.png,44,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
20,0.4,1,FALSE,1,0,20,13,1,19,blueBalloon.png,80,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
19,0.385,0.95,FALSE,1,0,20,11,1,19,blueBalloon.png,68,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
20,0.4,1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
7,0.205,0.35,FALSE,1,0,20,6,1,19,blueBalloon.png,38,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
9,0.235,0.45,FALSE,1,0,20,4,1,19,blueBalloon.png,26,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
8,0.22,0.4,FALSE,1,0,20,19,1,19,blueBalloon.png,116,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
8,0.22,0.4,FALSE,1,0,20,18,1,19,blueBalloon.png,110,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
29,0.535,1.45,FALSE,1,0,20,16,1,19,blueBalloon.png,98,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
40,0.7,2,FALSE,1,0,20,8,1,19,blueBalloon.png,50,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
67,1.105,3.35,FALSE,1,0,20,12,1,19,blueBalloon.png,74,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,3,1,19,blueBalloon.png,20,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
82,1.33,4.1,FALSE,1,0,20,14,1,19,blueBalloon.png,86,rifa,f,20,004,2020-09-29_11h38.42.597,bart,3.1.3,60
