nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
9, 0.23500000000000001, 0.45, false, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
11, 0.265, 0.55, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
9, 0.23500000000000001, 0.45, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
10, 0.25, 0.5, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
13, 0.29500000000000004, 0.65, false, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
13, 0.29500000000000004, 0.65, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
11, 0.265, 0.55, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
12, 0.28, 0.6000000000000001, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
16, 0.33999999999999997, 0.8, false, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
18, 0.37, 0.9, false, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
17, 0.355, 0.8500000000000001, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
18, 0.37, 0.9, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
17, 0.355, 0.8500000000000001, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
18, 0.37, 0.9, false, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
18, 0.37, 0.9, false, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
20, 0.4, 1, false, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
17, 0.355, 0.8500000000000001, false, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, sfd, f, 22, 004, 2018-12-10_14h31.27.622, bart, 3.0.0b11, 60
