nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
16,0.34,0.8,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
15,0.31,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
3,0.13,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
60,1,3,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
43,0.745,2.15,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
45,0.76,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
23,0.445,1.15,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
39,0.685,1.95,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
50,0.85,2.5,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
9,0.22,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
17,0.355,0.85,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
27,0.49,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
24,0.46,1.2,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
45,0.775,2.25,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
41,0.715,2.05,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
51,0.85,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
51,0.865,2.55,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
21,0.4,0,TRUE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
12,0.28,0.6,FALSE,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,,
,,,,uuuu,m,45,004,2019-10-08_13h36.51.684,bart,3.1.3,60,return,5.360000134
