nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
16,0.34,0.8,FALSE,1,0,20,5,1,19,blueBalloon.png,32,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,15,1,19,blueBalloon.png,92,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,7,1,19,blueBalloon.png,44,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,13,1,19,blueBalloon.png,80,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
34,0.61,1.7,FALSE,1,0,20,11,1,19,blueBalloon.png,68,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
60,1,3,FALSE,1,0,20,17,1,19,blueBalloon.png,104,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,19,1,19,blueBalloon.png,116,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
63,1.045,3.15,FALSE,1,0,20,18,1,19,blueBalloon.png,110,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,16,1,19,blueBalloon.png,98,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,12,1,19,blueBalloon.png,74,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
62,1.03,3.1,FALSE,1,0,20,14,1,19,blueBalloon.png,86,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,,
,,,,,,,,,,,,MMM,f,20,004,2020-08-18_12h42.04.944,bart,3.1.3,60,space,0.013000011
