nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,9,1,19,blueBalloon.png,56,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
3,0.145,0.15,FALSE,1,0,20,15,1,19,blueBalloon.png,92,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
8,0.22,0.4,FALSE,1,0,20,10,1,19,blueBalloon.png,62,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
11,0.265,0.55,FALSE,1,0,20,7,1,19,blueBalloon.png,44,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
15,0.325,0.75,FALSE,1,0,20,13,1,19,blueBalloon.png,80,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,17,1,19,blueBalloon.png,104,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
6,0.19,0.3,FALSE,1,0,20,6,1,19,blueBalloon.png,38,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
11,0.265,0.55,FALSE,1,0,20,4,1,19,blueBalloon.png,26,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
7,0.205,0.35,FALSE,1,0,20,19,1,19,blueBalloon.png,116,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,18,1,19,blueBalloon.png,110,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
23,0.445,1.15,FALSE,1,0,20,16,1,19,blueBalloon.png,98,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,8,1,19,blueBalloon.png,50,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,12,1,19,blueBalloon.png,74,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,3,1,19,blueBalloon.png,20,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
46,0.79,2.3,FALSE,1,0,20,14,1,19,blueBalloon.png,86,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,,
,,,,,,,,,,,,f,f,22,004,2020-03-31_16h51.53.123,bart,3.1.3,60,space,11.36500001
