nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
0,0.1,0,FALSE,1,0,20,5,1,19,blueBalloon.png,32,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
8,0.22,0.4,FALSE,1,0,20,15,1,19,blueBalloon.png,92,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,7,1,19,blueBalloon.png,44,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,13,1,19,blueBalloon.png,80,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,11,1,19,blueBalloon.png,68,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,17,1,19,blueBalloon.png,104,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,1,1,19,blueBalloon.png,8,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,6,1,19,blueBalloon.png,38,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,4,1,19,blueBalloon.png,26,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
27,0.505,1.35,FALSE,1,0,20,19,1,19,blueBalloon.png,116,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,18,1,19,blueBalloon.png,110,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
25,0.475,1.25,FALSE,1,0,20,16,1,19,blueBalloon.png,98,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,8,1,19,blueBalloon.png,50,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
16,0.34,0.8,FALSE,1,0,20,12,1,19,blueBalloon.png,74,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
23,0.445,1.15,FALSE,1,0,20,14,1,19,blueBalloon.png,86,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,,
,,,,,,,,,,,,ff,f,45,004,2020-08-19_11h44.55.243,bart,3.1.3,60,space,0.291999817
