nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
16,0.34,0.8,FALSE,1,0,20,5,1,19,blueBalloon.png,32,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,9,1,19,blueBalloon.png,56,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
5,0.175,0.25,FALSE,1,0,20,15,1,19,blueBalloon.png,92,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
14,0.31,0.7,FALSE,1,0,20,7,1,19,blueBalloon.png,44,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,13,1,19,blueBalloon.png,80,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,11,1,19,blueBalloon.png,68,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
29,0.535,1.45,FALSE,1,0,20,17,1,19,blueBalloon.png,104,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
18,0.37,0.9,FALSE,1,0,20,6,1,19,blueBalloon.png,38,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
23,0.445,1.15,FALSE,1,0,20,19,1,19,blueBalloon.png,116,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,18,1,19,blueBalloon.png,110,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
30,0.55,1.5,FALSE,1,0,20,16,1,19,blueBalloon.png,98,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
35,0.625,1.75,FALSE,1,0,20,8,1,19,blueBalloon.png,50,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,12,1,19,blueBalloon.png,74,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
45,0.775,2.25,FALSE,1,0,20,14,1,19,blueBalloon.png,86,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,,
,,,,,,,,,,,,1,f,26,004,2020-04-06_14h44.20.795,bart,3.1.3,60,space,3.663000107
