nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,9,1,19,blueBalloon.png,56,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,15,1,19,blueBalloon.png,92,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,10,1,19,blueBalloon.png,62,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,7,1,19,blueBalloon.png,44,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,13,1,19,blueBalloon.png,80,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
40,0.7,2,FALSE,1,0,20,11,1,19,blueBalloon.png,68,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
47,0.805,2.35,FALSE,1,0,20,17,1,19,blueBalloon.png,104,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,6,1,19,blueBalloon.png,38,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,4,1,19,blueBalloon.png,26,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
17,0.355,0.85,FALSE,1,0,20,19,1,19,blueBalloon.png,116,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
9,0.235,0.45,FALSE,1,0,20,18,1,19,blueBalloon.png,110,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
23,0.445,1.15,FALSE,1,0,20,16,1,19,blueBalloon.png,98,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,8,1,19,blueBalloon.png,50,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
39,0.685,1.95,FALSE,1,0,20,12,1,19,blueBalloon.png,74,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,14,1,19,blueBalloon.png,86,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,,
,,,,,,,,,,,,A,f,28,004,2020-06-24_17h38.57.480,bart,3.1.3,60,space,0.009000063
