nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
0,0.1,0,FALSE,1,0,20,5,1,19,blueBalloon.png,32,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
13,0.295,0.65,FALSE,1,0,20,15,1,19,blueBalloon.png,92,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,10,1,19,blueBalloon.png,62,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,7,1,19,blueBalloon.png,44,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,13,1,19,blueBalloon.png,80,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,11,1,19,blueBalloon.png,68,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,17,1,19,blueBalloon.png,104,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
33,0.595,1.65,FALSE,1,0,20,6,1,19,blueBalloon.png,38,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
28,0.52,1.4,FALSE,1,0,20,19,1,19,blueBalloon.png,116,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,18,1,19,blueBalloon.png,110,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
42,0.73,2.1,FALSE,1,0,20,16,1,19,blueBalloon.png,98,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
39,0.685,1.95,FALSE,1,0,20,8,1,19,blueBalloon.png,50,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
47,0.805,2.35,FALSE,1,0,20,12,1,19,blueBalloon.png,74,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
41,0.715,2.05,FALSE,1,0,20,14,1,19,blueBalloon.png,86,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,,
,,,,,,,,,,,,aaa,m,19,004,2020-05-28_15h46.31.684,bart,3.1.3,60,space,0.016000032
