nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
27,0.505,1.35,FALSE,1,0,20,5,1,19,blueBalloon.png,32,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,9,1,19,blueBalloon.png,56,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
29,0.535,1.45,FALSE,1,0,20,15,1,19,blueBalloon.png,92,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
63,1.03,0,TRUE,1,0,20,10,1,19,blueBalloon.png,62,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
45,0.76,0,TRUE,1,0,20,7,1,19,blueBalloon.png,44,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
36,0.64,1.8,FALSE,1,0,20,13,1,19,blueBalloon.png,80,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
45,0.775,2.25,FALSE,1,0,20,11,1,19,blueBalloon.png,68,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
50,0.85,2.5,FALSE,1,0,20,17,1,19,blueBalloon.png,104,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
39,0.67,0,TRUE,1,0,20,6,1,19,blueBalloon.png,38,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
27,0.49,0,TRUE,1,0,20,4,1,19,blueBalloon.png,26,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
43,0.745,2.15,FALSE,1,0,20,19,1,19,blueBalloon.png,116,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
55,0.925,2.75,FALSE,1,0,20,18,1,19,blueBalloon.png,110,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
88,1.42,4.4,FALSE,1,0,20,16,1,19,blueBalloon.png,98,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
51,0.85,0,TRUE,1,0,20,8,1,19,blueBalloon.png,50,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
75,1.21,0,TRUE,1,0,20,12,1,19,blueBalloon.png,74,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
21,0.4,0,TRUE,1,0,20,3,1,19,blueBalloon.png,20,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
68,1.12,3.4,FALSE,1,0,20,14,1,19,blueBalloon.png,86,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,,
,,,,,,,,,,,,qwertyu,f,22,004,2020-05-01_15h37.00.641,bart,3.1.3,60,return,6.736999989
